question_id,topic,difficulty,is_active,question_text,reference_law,reference_book,feedback,image,total_options,correct_option_indexes,option_1_text,option_1_is_correct,option_2_text,option_2_is_correct,option_3_text,option_3_is_correct,option_4_text,option_4_is_correct,option_5_text,option_5_is_correct,option_6_text,option_6_is_correct
1,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Su vehículo se desvía hacia un lado cuando usted frena. usted debería:,Fallas de frenos,,"Si su vehículo se desvía hacia un lado al frenar, esto indica un problema potencialmente serio en el sistema de frenos o en la alineación de las ruedas. Las causas pueden ser diversas: desde pastillas de freno desgastadas de manera desigual hasta problemas en los discos de freno, calibradores o la suspensión. No se recomienda intentar soluciones como cambiar los neumáticos de lado o bombear el pedal al frenar, ya que estos no abordan la causa raíz del problema. Usar el freno de mano tampoco es una solución adecuada, ya que podría provocar más daño o descontrol del vehículo. La respuesta correcta es llevar el vehículo a un mecánico cualificado lo antes posible para un diagnóstico y reparación adecuados. Dejar sin atender este problema no solo reduce la eficacia del frenado, sino que también puede ser peligroso, aumentando el riesgo de accidentes.",,4,4,Cambiar los neumáticos de un lado a otro y viceversa.,no,Bombear el pedal al frenar.,no,Usar su freno de mano.,no,Consultar con su mecánico lo antes posible.,si,,,,
2,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Si su vehículo se desvía hacia un lado cuando usted frena ¿Cual es la falla mas probable?,Fallas de frenos,,"Si tu vehículo se desvía hacia un lado al frenar, la falla más probable es un mal ajuste de los frenos o un problema de presión desigual entre las ruedas. Causas principales
Frenos mal ajustados: Una de las ruedas frena con más fuerza que la otra.
Desgaste irregular: Las pastillas o balatas de un lado están más gastadas que las del otro.
Problemas en el sistema hidráulico: Aire en las líneas de freno o un pistón de cáliper gripado (atascado).
Presión de neumáticos: Si un neumático delantero tiene mucha menos presión que el otro, el auto tenderá a irse hacia ese lado.
",,4,3,Un nivel bajo de liquido de frenos,no,Freno de mano activado,no,Frenos mal ajustados,si,Neumáticos con presión de aire inadecuada,no,,,,
3,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Mientras conduce usted siente un fuerte olor a gasolina. ¿que debe hacer?,Seguridad con combustible,,"Detenerse e investigar la causa lo antes posible. Este síntoma es una señal de alerta crítica, ya que generalmente indica una fuga en el sistema de combustible, lo que representa un alto riesgo de incendio. Pasos de seguridad recomendados:
Busca un lugar seguro: Sal de la calzada o estaciónate en la berma.
Apaga el motor: Evita cualquier fuente de calor o chispa que pueda iniciar un fuego.
No fumes: Por razones obvias, mantén cualquier llama lejos del vehículo.
Verifica visualmente: Busca manchas de líquido bajo el auto o en el compartimiento del motor (sin acercar llamas o linternas que generen calor excesivo).
Si no puedes identificar o solucionar la fuga de forma segura, lo más responsable es llamar a una grúa, ya que seguir conduciendo en esas condiciones es sumamente peligroso.",,4,4,"No preocuparse, ya que solo son gases de escape.",no,Continuar a velocidad reducida.,no,Continuar porque sabe que se detendrá en unos kilómetros mas allá.,no,Detenerse e investigar el problema.,si,,,,
4,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Como puede prevenir el riesgo de incendio de su vehículo?,Incendio del vehículo,,"Para prevenir el riesgo de incendio en su vehículo, las medidas más efectivas son:

Revisar el sistema eléctrico: Evite instalaciones de accesorios no originales o cables sueltos que puedan causar cortocircuitos.

Controlar fugas de combustible: Mantenga el sistema de inyección y las mangueras de combustible en buen estado; el olor a gasolina es una señal de alerta inmediata.

Mantener los niveles de aceite: El aceite viejo o niveles extremadamente bajos pueden sobrecalentar el motor.

No fumar cerca del motor: Especialmente si está revisando fluidos o cargando combustible.

Limpieza del motor: Evite la acumulación de suciedad y grasa, ya que pueden actuar como combustible ante una chispa.",,4,4,Mantener los niveles de agua full,no,Evitar conducir con estanque lleno,no,Usar gasolina sin plomo,no,Revisar su vehículo ante cualquier olor a gasolina extraño.,si,,,,
5,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Por que es importante usar zapatos apropiados cuando conduce?,Conducción responsable,,"Según el Libro del Nuevo Conductor de la CONASET, es fundamental usar zapatos apropiados al conducir principalmente para mantener un buen control de los pedales. El uso de calzado inadecuado (como sandalias sueltas, hawaianas, tacos altos o zapatos muy pesados) conlleva los siguientes riesgos:
Pérdida de sensibilidad: No permite sentir correctamente la presión que se ejerce sobre el freno, el acelerador o el embrague.
Enredos o bloqueos: Un zapato suelto puede salirse del pie y quedar atrapado bajo los pedales, impidiendo frenar en una emergencia.
Resbalones: Si la suela no tiene buen agarre o está mojada, el pie puede resbalar del pedal en un momento crítico.
Lo ideal: Usar zapatos planos, cerrados y que se ajusten bien al pie para garantizar una reacción rápida y precisa.",,4,1,Para tener control de los pedales,si,Para evitar el desgaste de las gomas de los pedales,no,Para efectuar cambios de marcha mas rápidos,no,Para caminar sin problemas en caso de solicitar ayuda,no,,,,
6,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"En un automóvil, ¿Cual de los siguientes elementos reduce el riesgo de lesiones de cuello en un colisión?",Técnica de frenado,,"El elemento diseñado específicamente para reducir el riesgo de lesiones de cuello (como el latigazo cervical) es el apoyacabezas (o reposacabezas).Para que sea efectivo, debe estar ajustado correctamente: la parte superior debe quedar a la misma altura que la parte superior de tu cabeza.",,4,4,Airbag,no,Frenos ABS,no,Columna de dirección colapsable,no,Un asiento con apoya-cabeza bien ajustado,si,,,,
7,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Que significa esta luz de advertencia en el panel de instrumentos?,Testigos y luces del tablero,,"Por lo general, las más comunes en los exámenes son:
Aceitera roja: Baja presión de aceite.
Termómetro rojo: Exceso de temperatura del motor.
Batería roja: Problema en el sistema de carga (alternador).
Círculo con signo de exclamación (!): Falla en los frenos o freno de mano puesto.
",questions/OIP.png,4,2,Luces neblineras,no,Intermitentes de advertencia de peligro,si,luces Altas,no,Freno de mano puesto,no,,,,
8,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Es esencial que la presión de los neumáticos sea chequeada regularmente ¿Cuando se hace esto?,Presión e inflado,,"La presión de los neumáticos debe chequearse cuando estos están fríos. Esto es fundamental porque el aire se expande con el calor generado por el movimiento; si mides la presión después de haber conducido una distancia larga, obtendrás una lectura falsamente alta.

Recomendaciones adicionales:
Frecuencia: Se recomienda hacerlo al menos una vez al mes.
Referencia: Usa siempre la presión indicada por el fabricante del vehículo (que suele estar en una etiqueta en el marco de la puerta del conductor o en el manual), no la presión máxima que figura en el neumático.
Repuesto: No olvides revisar también la presión de la rueda de repuesto.
",,4,3,Después de un largo viaje,no,Después de conducir a alta velocidad,no,Cuando los neumáticos están fríos,si,Cuando los neumáticos están calientes,no,,,,
9,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,La presión  de los neumáticos debe revisarse:,Presión e inflado,,"La presión de los neumáticos debe chequearse cuando estos están fríos. Esto es fundamental porque el aire se expande con el calor generado por el movimiento; si mides la presión después de haber conducido una distancia larga, obtendrás una lectura falsamente alta.

Recomendaciones adicionales:
Frecuencia: Se recomienda hacerlo al menos una vez al mes.
Referencia: Usa siempre la presión indicada por el fabricante del vehículo (que suele estar en una etiqueta en el marco de la puerta del conductor o en el manual), no la presión máxima que figura en el neumático.
Repuesto: No olvides revisar también la presión de la rueda de repuesto.
",,4,1,Cuando los neumáticos están fríos,si,Cuando los neumáticos están calientes,no,En cualquier momento,no,Da igual si están fríos o calientes,no,,,,
10,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"¿Cual de estos líquidos, en el caso de nivel bajo , podría causar un accidente?",Actuación en accidentes,,"El líquido que, ante un nivel bajo, podría causar un accidente de manera más directa y grave es el líquido de frenos. Un nivel bajo en este sistema puede provocar una pérdida de presión hidráulica, haciendo que los frenos fallen parcial o totalmente, lo que impide detener el vehículo ante una emergencia.

Otros líquidos críticos para la seguridad:
Líquido de la dirección asistida: Si falta, la dirección se vuelve extremadamente dura, dificultando maniobras rápidas.
Líquido limpiaparabrisas: Aunque no detiene el auto, su ausencia en condiciones de barro o suciedad puede anular la visibilidad por completo.
",,4,1,Liquido de freno,si,Anticongelante,no,El agua de la batería,no,El liquido refrigerante,no,,,,
